NAME,CODE,REGION,COST,SERVICETYPE
SAN BERNARDO,AJAH,RM,3950,3
LAMPA,BATU,RM,3950,3
BUIN,BUIN,RM,4740,3
CALERA DE TANGO,CTAN,RM,3950,3
CERRILLOS,LOSC,RM,3950,3
CERRO NAVIA,CNAV,RM,3950,3
COLINA,CHIC,RM,3950,3
COLINA,COLI,RM,3950,3
CONCHALI,CCHA,RM,3950,3
CURACAVI,CRCV,RM,6396,3
EL BOSQUE,ELBO,RM,3950,3
EL MONTE,ELMO,RM,3950,3
EL MONTE,ELPA,RM,3950,3
ESTACION CENTRAL,ECEN,RM,3950,3
HUECHURABA,HUEC,RM,3950,3
INDEPENDENCIA,INDE,RM,3950,3
ISLA DE MAIPO,IMAI,RM,3950,3
LA CISTERNA,LACI,RM,3950,3
LA FLORIDA,LAFL,RM,3950,3
LA GRANJA,LAGR,RM,3950,3
LA PINTANA,LAPI,RM,3950,3
LA REINA,LARE,RM,3950,3
LAMPA,LAMP,RM,3950,3
LAS CONDES,LCON,RM,3950,3
LO BARNECHEA,LOBA,RM,3950,3
LO ESPEJO,LOES,RM,3950,3
LO PRADO,LOPR,RM,3950,3
ISLA DE MAIPO,LONQ,RM,3950,3
MACUL,MACU,RM,3950,3
MAIPU,MIPU,RM,3950,3
PADRE HURTADO,MALL,RM,3950,3
MELIPILLA,MELI,RM,4740,3
SAN BERNARDO,NOSO,RM,3950,3
NUNOA,NUNO,RM,3950,3
PADRE HURTADO,PHUR,RM,3950,3
PAINE,PAIN,RM,3950,3
PEDRO AGUIRRE CERDA,PEDR,RM,3950,3
PENAFLOR,PENA,RM,3950,3
PENALOLEN,PLOL,RM,3950,3
PIRQUE,PIRQ,RM,3950,3
PROVIDENCIA,PROV,RM,3950,3
PUDAHUEL,PUDA,RM,3950,3
PUENTE ALTO,PALT,RM,3950,3
QUILICURA,QILI,RM,3950,3
QUINTA NORMAL,QNOR,RM,3950,3
RECOLETA,RECO,RM,3950,3
RENCA,RENC,RM,3950,3
SAN BERNARDO,SBER,RM,3950,3
SAN JOAQUIN,SJOA,RM,3950,3
SAN MIGUEL,SMIG,RM,3950,3
SAN RAMON,SRAM,RM,3950,3
SANTIAGO CENTRO,STGO,RM,3950,3
SIN COBERTURA,SCOB,RM,NOTIENE,0
TALAGANTE,TALA,RM,3950,3
TILTIL,TILT,RM,3950,3
VITACURA,VITA,RM,3950,3